codigo;chegada;start;espera;finish;Tempo de ciclo<BR>estimado;cor;Situação texto;Situação codigo;máquina;
1786;2022-05-19 14:18:23,299246;2022-05-19 14:30:11,864398;00:11:48.565152;2022-05-19 16:19:26,284188;01:49:14,41979;7CFF78;Atendido;2;2
1785;2022-05-19 13:48:46,944993;2022-05-19 13:59:52,612434;00:11:05.667441;2022-05-19 15:06:23,072101;01:06:30,459667;7CFF78;Atendido;2;2
1781;2022-05-17 21:36:29,526179;2022-05-18 13:52:09,294776;16:15:39,768597;2022-05-18 15:39:11,434583;01:47:02,139807;7CFF78;Atendido;2;2
1780;2022-05-17 15:43:28,805849;2022-05-17 15:43:46,785664;00:00:17.979815;2022-05-17 16:25:23,963106;00:41:37.177442;7CFF78;Atendido;2;2
1779;2022-05-17 13:03:43,440838;2022-05-17 13:05:17,400002;00:01:33.959164;2022-05-17 15:30:30,081068;02:25:12,681066;7CFF78;Atendido;2;2
1774;2022-05-16 23:26:45,306896;2022-05-17 08:23:12,247525;08:56:26,940629;2022-05-17 15:24:46,437392;07:01:34,189867;7CFF78;Atendido;2;2
1778;2022-05-17 11:19:56,476479;2022-05-17 11:20:00,280903;00:00:03.804424;2022-05-17 13:05:13,813984;01:45:13,533081;7CFF78;Atendido;2;2
1776;2022-05-17 09:48:26,179834;2022-05-17 10:03:43,400886;00:15:17.221052;2022-05-17 13:05:01,258179;03:01:17,857293;7CFF78;Atendido;2;2
1777;2022-05-17 10:59:45,590408;2022-05-17 11:18:31,137952;00:18:45.547544;2022-05-17 11:19:58,530028;00:01:27.392076;FF7D7D;Cancelado / Não atendido;5;2
1775;2022-05-17 09:28:48,2182;2022-05-17 09:28:56,771512;00:00:08.553312;2022-05-17 09:53:33,070239;00:24:36.298727;FF7D7D;Cancelado / Não atendido;5;2
1762;2022-05-16 14:51:14,272182;2022-05-16 14:52:30,136849;00:01:15.864667;2022-05-17 09:45:17,616423;18:52:47,479574;FF7D7D;Cancelado / Não atendido;5;2
1773;2022-05-16 19:58:56,940415;2022-05-16 21:38:13,277231;01:39:16,336816;2022-05-16 22:01:47,839945;00:23:34.562714;7CFF78;Atendido;2;2
1767;2022-05-16 15:21:30,20004;2022-05-16 20:42:54,471628;05:21:24,271588;2022-05-16 21:19:03,840542;00:36:09.368914;7CFF78;Atendido;2;2
1769;2022-05-16 17:58:26,83954;2022-05-16 19:20:45,812859;01:22:18,973319;2022-05-16 20:59:35,361576;01:38:49,548717;7CFF78;Atendido;2;2
1768;2022-05-16 17:57:28,808868;2022-05-16 18:06:13,626077;00:08:44.817209;2022-05-16 19:20:15,236385;01:14:01,610308;7CFF78;Atendido;2;2
1763;2022-05-16 14:52:55,82234;2022-05-16 15:48:47,305697;00:55:51.483357;2022-05-16 17:14:19,686931;01:25:32,381234;7CFF78;Atendido;2;2
1765;2022-05-16 15:07:01,83501;2022-05-16 15:25:46,246221;00:18:44.411211;2022-05-16 16:05:40,85091;00:39:54.604689;7CFF78;Atendido;2;2
1766;2022-05-16 15:07:09,710939;2022-05-16 15:25:47,892367;00:18:38.181428;2022-05-16 15:38:55,659518;00:13:07.767151;FF7D7D;Cancelado / Não atendido;5;2
1764;2022-05-16 14:58:45,398277;2022-05-16 15:06:04,713402;00:07:19.315125;2022-05-16 15:11:48,530118;00:05:43.816716;FF7D7D;Cancelado / Não atendido;5;2
1761;2022-05-16 14:46:57,833236;2022-05-16 15:00:40,372825;00:13:42.539589;2022-05-16 15:07:07,016934;00:06:26.644109;FF7D7D;Cancelado / Não atendido;5;2
1760;2022-05-16 12:55:17,650182;2022-05-16 15:06:19,375058;02:11:01,724876;2022-05-16 15:06:46,918575;00:00:27.543517;FF7D7D;Cancelado / Não atendido;5;2
1739;2022-05-12 19:13:50,702345;2022-05-13 13:54:48,071466;18:40:57,369121;2022-05-13 21:32:50,843963;07:38:02,772497;7CFF78;Atendido;2;1
1755;2022-05-13 17:53:51,768093;2022-05-13 17:54:36,506034;00:00:44.737941;2022-05-13 18:45:08,249832;00:50:31.743798;7CFF78;Atendido;2;2
1756;2022-05-13 18:09:47,479615;2022-05-13 18:10:27,179277;00:00:39.699662;2022-05-13 18:45:03,096333;00:34:35.917056;7CFF78;Atendido;2;2
1757;2022-05-13 18:12:23,95151;2022-05-13 18:13:01,415001;00:00:37.463491;2022-05-13 18:26:50,074056;00:13:48.659055;7CFF78;Atendido;2;1
1754;2022-05-13 15:33:43,665611;2022-05-13 15:39:19,006736;00:05:35.341125;2022-05-13 17:54:34,565766;02:15:15,55903;7CFF78;Atendido;2;2
1742;2022-05-12 19:25:16,640919;2022-05-13 14:38:34,946298;19:13:18,305379;2022-05-13 15:53:18,802069;01:14:43,855771;7CFF78;Atendido;2;2
